iter	RMSE
0	1.294265626
1	1.293986538
2	1.293711234
3	1.293425847
4	1.293150424
5	1.292866218
6	1.292587858
7	1.292313493
8	1.292044018
9	1.291760463
10	1.291486747
11	1.291206714
12	1.29094203
13	1.290664907
14	1.290388412
15	1.290107522
16	1.289829049
17	1.289554579
18	1.28927454
19	1.289012353
20	1.288734539
21	1.288463764
22	1.288194587
23	1.287925561
24	1.287643995
25	1.287367335
26	1.287100619
27	1.286827707
28	1.286559154
29	1.286297034
30	1.286027818
31	1.28576566
32	1.285489493
33	1.285213198
34	1.284936429
35	1.284666098
36	1.284390179
37	1.284141794
38	1.283870466
39	1.283606829
40	1.283342446
41	1.283083269
42	1.282815178
43	1.282537891
44	1.282279036
45	1.282018674
46	1.281752578
47	1.281485664
48	1.281233597
49	1.280977945
50	1.280729592
51	1.280468776
52	1.280203259
53	1.279933594
54	1.279669771
55	1.279412348
56	1.279150084
57	1.278906306
58	1.278656509
59	1.278399646
60	1.278144539
61	1.27788396
62	1.277626178
63	1.277365493
64	1.277116646
65	1.276870393
66	1.276610389
67	1.276367866
68	1.276104627
69	1.275856091
70	1.275601519
71	1.275340769
72	1.275097168
73	1.274847739
74	1.274597146
75	1.274352706
76	1.274112332
77	1.273865289
78	1.273601534
79	1.273350696
80	1.273104064
81	1.272847755
82	1.272589023
83	1.272333937
84	1.272088504
85	1.271838065
86	1.271590022
87	1.271349335
88	1.271100777
89	1.270853848
90	1.270604145
91	1.270361873
92	1.270122771
93	1.269868938
94	1.269638417
95	1.269398619
96	1.269155347
97	1.268909229
98	1.268661103
99	1.268413279
100	1.268177871
101	1.267931213
102	1.267693334
103	1.267470264
104	1.267228444
105	1.266993797
106	1.266762963
107	1.266517151
108	1.26628104
109	1.266041518
110	1.265798373
111	1.265559952
112	1.265304853
113	1.265082415
114	1.264842245
115	1.264609964
116	1.26436844
117	1.264126237
118	1.263891226
119	1.263664955
120	1.263443282
121	1.263227406
122	1.263008751
123	1.26277346
124	1.262546778
125	1.262318156
126	1.262082737
127	1.261839743
128	1.261598534
129	1.261372767
130	1.261149706
131	1.260923084
132	1.260678106
133	1.260459853
134	1.260218591
135	1.259983837
136	1.259741003
137	1.259517371
138	1.2592858
139	1.259044736
140	1.25881971
141	1.258599513
142	1.258360434
143	1.258141569
144	1.257906992
145	1.257680774
146	1.257457764
147	1.257230971
148	1.257008447
149	1.256775142
150	1.25656229
151	1.256323814
152	1.256104451
153	1.255880879
154	1.255655923
155	1.255423074
156	1.255209002
157	1.255004376
158	1.25478995
159	1.254558286
160	1.254345128
161	1.254112603
162	1.253887755
163	1.25365642
164	1.253448068
165	1.253223526
166	1.252999723
167	1.252767798
168	1.252528812
169	1.252300984
170	1.252079002
171	1.251860102
172	1.251651807
173	1.251423252
174	1.251217226
175	1.251005487
176	1.250790659
177	1.250574942
178	1.250348889
179	1.250143041
180	1.249916555
181	1.249705235
182	1.249490823
183	1.249269621
184	1.249050442
185	1.248841465
186	1.248624984
187	1.248401495
188	1.248179246
189	1.247954254
190	1.247753278
191	1.247553194
192	1.24734838
193	1.247131641
194	1.246930603
195	1.246709089
196	1.246503851
197	1.246285896
198	1.246087216
199	1.245880094
200	1.245674648
201	1.24546104
202	1.245265438
203	1.245062102
204	1.2448389
205	1.24463999
206	1.244437622
207	1.244221232
208	1.244026006
209	1.24382775
210	1.243618538
211	1.243411861
212	1.243193007
213	1.242976757
214	1.242757969
215	1.242554937
216	1.242349084
217	1.242157425
218	1.241942497
219	1.241740762
220	1.241530983
221	1.241327035
222	1.24113994
223	1.240935499
224	1.240735533
225	1.240537038
226	1.240337509
227	1.24012334
228	1.239929116
229	1.23971373
230	1.239512779
231	1.239300903
232	1.239095011
233	1.238907508
234	1.23872227
235	1.238527826
236	1.238325822
237	1.238115465
238	1.237932763
239	1.237724419
240	1.237527523
241	1.237326862
242	1.237139019
243	1.236940162
244	1.236749532
245	1.236544867
246	1.236352739
247	1.236156989
248	1.235958836
249	1.235755478
250	1.235564521
251	1.235363398
252	1.235169288
253	1.234983058
254	1.234800252
255	1.234609651
256	1.234409308
257	1.234220301
258	1.234045729
259	1.233860553
260	1.233681612
261	1.233493214
262	1.233311411
263	1.233123748
264	1.232934832
265	1.232737891
266	1.232541494
267	1.232359047
268	1.232171671
269	1.231989241
270	1.231812551
271	1.231621704
272	1.231422101
273	1.23123415
274	1.231030372
275	1.230833342
276	1.230648476
277	1.230448932
278	1.230274547
279	1.230102593
280	1.229893717
281	1.229714127
282	1.229514719
283	1.229335218
284	1.229152078
285	1.228974619
286	1.228805517
287	1.228605601
288	1.228417798
289	1.228241317
290	1.228057363
291	1.227872731
292	1.227699571
293	1.227512642
294	1.227335453
295	1.227144777
296	1.226964278
297	1.226780711
298	1.226599362
299	1.226412554
300	1.226232599
301	1.226051096
302	1.225881229
303	1.225699094
304	1.225508382
305	1.225325177
306	1.225137885
307	1.224945925
308	1.224767857
309	1.224590995
310	1.224387998
311	1.224193381
312	1.224018105
313	1.223827493
314	1.223648029
315	1.223459246
316	1.223284737
317	1.223096697
318	1.222919303
319	1.222740068
320	1.222569669
321	1.22240099
322	1.222230906
323	1.222057893
324	1.221883764
325	1.221713972
326	1.221551645
327	1.221381298
328	1.221214345
329	1.22105377
330	1.220879425
331	1.220703528
332	1.220544813
333	1.220374471
334	1.220198465
335	1.22002247
336	1.219839461
337	1.219677976
338	1.219508387
339	1.219330617
340	1.219166406
341	1.218993576
342	1.218827899
343	1.218664459
344	1.218488461
345	1.218316082
346	1.218153338
347	1.217958746
348	1.217799856
349	1.217630698
350	1.217470963
351	1.217290196
352	1.217116517
353	1.216946534
354	1.216783972
355	1.216600074
356	1.216426916
357	1.216251543
358	1.216074941
359	1.215918434
360	1.215738093
361	1.215572813
362	1.215400459
363	1.215224938
364	1.215064192
365	1.214895823
366	1.214727211
367	1.214555176
368	1.214388052
369	1.214237727
370	1.214077802
371	1.213913429
372	1.213756314
373	1.213577628
374	1.213409821
375	1.213256521
376	1.213092037
377	1.212930423
378	1.212768347
379	1.212608631
380	1.212439701
381	1.212265693
382	1.212102723
383	1.211933026
384	1.211762463
385	1.211592462
386	1.211423903
387	1.211258877
388	1.211091299
389	1.210923037
390	1.210756806
391	1.210595724
392	1.210436601
393	1.210273054
394	1.210125778
395	1.209964024
396	1.209808892
397	1.209650436
398	1.209491116
399	1.209339338
400	1.209178067
401	1.209011632
402	1.208853513
403	1.208698532
404	1.208536184
405	1.208380648
406	1.208209216
407	1.208048455
408	1.207898665
409	1.207734003
410	1.207580128
411	1.20741888
412	1.207260625
413	1.207112356
414	1.206954319
415	1.206790963
416	1.206636527
417	1.206493149
418	1.20633665
419	1.206189335
420	1.206044173
421	1.205883566
422	1.20572198
423	1.205573963
424	1.205421324
425	1.205266454
426	1.205107549
427	1.204964321
428	1.204810425
429	1.204656914
430	1.204505891
431	1.204348397
432	1.20419516
433	1.20404205
434	1.203874906
435	1.203715632
436	1.203557813
437	1.20339514
438	1.203239678
439	1.20309822
440	1.202949179
441	1.202794324
442	1.202638895
443	1.202491606
444	1.202317044
445	1.202162957
446	1.202003678
447	1.201843972
448	1.201686129
449	1.201511229
450	1.201348315
451	1.201206376
452	1.20105906
453	1.200911614
454	1.200751948
455	1.20058845
456	1.200441428
457	1.200304561
458	1.20014929
459	1.200000882
460	1.199851086
461	1.199705639
462	1.199566282
