iter	Passed	Remaining
0	67	135879
1	124	124485
2	177	118023
3	229	114760
4	282	112648
5	335	111378
6	387	110189
7	439	109353
8	489	108364
9	543	108095
10	596	107798
11	650	107700
12	699	106907
13	755	107149
14	810	107264
15	865	107330
16	965	112635
17	1025	112947
18	1090	113745
19	1153	114198
20	1217	114756
21	1279	115056
22	1340	115203
23	1399	115219
24	1461	115443
25	1520	115411
26	1578	115342
27	1636	115282
28	1693	115133
29	1750	114940
30	1807	114775
31	1862	114547
32	1921	114534
33	1979	114474
34	2039	114519
35	2100	114591
36	2159	114579
37	2212	114219
38	2270	114180
39	2329	114124
40	2386	114043
41	2443	113926
42	2502	113905
43	2561	113871
44	2619	113795
45	2675	113656
46	2735	113649
47	2793	113607
48	2848	113403
49	2905	113313
50	2960	113126
51	3017	113050
52	3076	113020
53	3135	112984
54	3194	112952
55	3251	112861
56	3308	112771
57	3359	112487
58	3414	112320
59	3472	112267
60	3528	112146
61	3584	112049
62	3641	111967
63	3699	111920
64	3755	111811
65	3809	111644
66	3868	111602
67	3921	111412
68	3980	111410
69	4036	111302
70	4091	111171
71	4149	111104
72	4205	111008
73	4261	110915
74	4317	110807
75	4373	110715
76	4425	110515
77	4483	110468
78	4541	110431
79	4598	110366
80	4655	110294
81	4713	110239
82	4773	110243
83	4830	110179
84	4887	110120
85	4946	110085
86	5002	110003
87	5057	109888
88	5115	109843
89	5172	109769
90	5231	109740
91	5287	109661
92	5341	109524
93	5400	109501
94	5452	109334
95	5509	109273
96	5567	109225
97	5623	109151
98	5680	109067
99	5736	108989
100	5790	108870
101	5847	108815
102	5904	108743
103	5954	108552
104	6013	108528
105	6070	108464
106	6127	108404
107	6184	108335
108	6239	108247
109	6296	108186
110	6354	108139
111	6412	108092
112	6470	108055
113	6524	107933
114	6581	107871
115	6636	107782
116	6694	107740
117	6753	107711
118	6811	107662
119	6865	107565
120	6915	107398
121	6966	107233
122	7018	107107
123	7076	107057
124	7132	106984
125	7187	106906
126	7244	106835
127	7301	106784
128	7360	106752
129	7415	106674
130	7471	106596
131	7528	106541
132	7587	106505
133	7641	106416
134	7703	106418
135	7758	106343
136	7818	106324
137	7874	106253
138	7932	106202
139	7991	106170
140	8049	106122
141	8102	106022
142	8161	105984
143	8214	105877
144	8272	105828
145	8330	105785
146	8387	105733
147	8445	105684
148	8499	105593
149	8556	105531
150	8607	105393
151	8665	105348
152	8718	105249
153	8774	105182
154	8830	105111
155	8886	105037
156	8939	104934
157	8988	104787
158	9039	104669
159	9097	104626
160	9152	104544
161	9212	104523
162	9268	104460
163	9327	104425
164	9378	104298
165	9434	104234
166	9491	104183
167	9549	104133
168	9609	104115
169	9670	104096
170	9727	104043
171	9784	103992
172	9837	103894
173	9895	103850
174	9946	103723
175	10000	103640
176	10054	103553
177	10110	103495
178	10170	103462
179	10223	103367
180	10282	103334
181	10335	103237
182	10389	103159
183	10447	103108
184	10504	103062
185	10561	103002
186	10618	102948
187	10673	102875
188	10733	102853
189	10792	102814
190	10846	102725
191	10898	102624
192	10950	102527
193	11007	102472
194	11059	102371
195	11115	102312
196	11170	102232
197	11225	102165
198	11276	102055
199	11335	102021
